file name: (x, y, w, h)
benign (270), (290, 0, 77, 99)
benign (111), (171, 136, 61, 71)
benign (118), (191, 73, 138, 107)
benign (126), (209, 154, 169, 105)
benign (341), (207, 121, 274, 145)
benign (271), (341, 96, 168, 90)
benign (12), (306, 162, 167, 99)
benign (186), (313, 172, 239, 176)
benign (417), (239, 100, 116, 69)
benign (129), (178, 156, 161, 109)
benign (334), (40, 238, 146, 81)
benign (313), (296, 0, 207, 102)
benign (59), (330, 91, 99, 85)
benign (378), (209, 50, 147, 71)
benign (150), (0, 36, 569, 375)
benign (277), (123, 83, 125, 103)
benign (278), (156, 245, 105, 218)
benign (345), (66, 139, 330, 170)
benign (51), (165, 97, 71, 58)
benign (120), (0, 180, 239, 67)
benign (400), (409, 87, 267, 101)
benign (376), (189, 125, 224, 162)
benign (403), (0, 63, 259, 146)
benign (275), (257, 55, 77, 103)
benign (180), (422, 179, 131, 113)
benign (340), (193, 59, 397, 215)
benign (69), (0, 620, 168, 98)
benign (316), (0, 0, 458, 302)
benign (115), (271, 146, 117, 87)
benign (114), (0, 0, 241, 182)
benign (406), (158, 111, 257, 112)
benign (332), (204, 102, 150, 112)
benign (327), (0, 157, 227, 130)
benign (407), (73, 411, 133, 55)
benign (7), (411, 99, 115, 94)
benign (209), (234, 77, 139, 93)
benign (183), (264, 202, 164, 117)
benign (377), (383, 0, 123, 120)
benign (218), (174, 52, 208, 83)
benign (185), (354, 171, 163, 106)
benign (263), (118, 198, 88, 191)
benign (247), (0, 0, 121, 94)
benign (83), (163, 68, 251, 81)
benign (66), (367, 134, 104, 80)
benign (90), (209, 156, 163, 149)
benign (130), (85, 99, 140, 71)
benign (239), (0, 68, 383, 152)
benign (58), (207, 71, 142, 103)
benign (161), (374, 74, 102, 79)
benign (149), (148, 128, 112, 80)
benign (375), (314, 129, 179, 127)
benign (349), (130, 0, 79, 99)
benign (20), (121, 111, 110, 56)
benign (190), (193, 145, 169, 217)
benign (78), (232, 103, 152, 119)
benign (404), (188, 99, 583, 310)
benign (237), (226, 74, 195, 105)
benign (199), (166, 80, 164, 82)
benign (89), (90, 91, 134, 121)
benign (112), (164, 103, 122, 112)
benign (243), (89, 259, 106, 213)
benign (26), (91, 82, 239, 142)
benign (151), (290, 121, 142, 75)
benign (40), (265, 143, 124, 103)
benign (219), (173, 188, 249, 92)
benign (241), (175, 0, 92, 96)
benign (36), (138, 180, 253, 151)
benign (139), (300, 75, 123, 95)
