file name: (x, y, w, h)
benign (270), (275, 25, 135, 67)
benign (111), (123, 111, 129, 149)
benign (118), (186, 73, 181, 78)
benign (126), (208, 133, 184, 120)
benign (341), (101, 56, 355, 82)
benign (271), (365, 86, 145, 112)
benign (12), (284, 160, 188, 99)
benign (186), (298, 159, 303, 221)
benign (417), (193, 105, 180, 88)
benign (129), (106, 128, 244, 133)
benign (334), (65, 115, 280, 180)
benign (313), (113, 33, 405, 27)
benign (59), (293, 34, 260, 156)
benign (378), (187, 51, 308, 101)
benign (150), (374, 185, 187, 223)
benign (277), (47, 48, 355, 159)
benign (278), (102, 168, 264, 124)
benign (345), (58, 43, 283, 219)
benign (51), (133, 83, 149, 72)
benign (120), (44, 146, 130, 86)
benign (400), (471, 68, 179, 121)
benign (376), (160, 64, 370, 229)
benign (403), (30, 72, 469, 241)
benign (275), (65, 37, 311, 256)
benign (180), (402, 154, 305, 183)
benign (340), (126, 60, 564, 234)
benign (69), (315, 317, 179, 95)
benign (316), (30, 27, 470, 257)
benign (115), (228, 156, 185, 96)
benign (114), (62, 245, 639, 230)
benign (406), (159, 66, 284, 193)
benign (332), (171, 111, 186, 97)
benign (327), (34, 37, 196, 355)
benign (407), (97, 65, 429, 369)
benign (7), (343, 89, 193, 144)
benign (209), (32, 39, 357, 257)
benign (183), (227, 185, 567, 114)
benign (377), (332, 38, 193, 111)
benign (218), (210, 24, 316, 142)
benign (185), (296, 169, 140, 89)
benign (263), (101, 137, 197, 237)
benign (247), (9, 25, 185, 277)
benign (83), (134, 54, 359, 95)
benign (66), (341, 110, 187, 119)
benign (90), (208, 107, 118, 156)
benign (130), (15, 48, 256, 141)
benign (239), (249, 50, 169, 103)
benign (58), (122, 44, 269, 133)
benign (161), (325, 74, 219, 99)
benign (149), (122, 65, 326, 175)
benign (375), (195, 126, 305, 146)
benign (349), (89, 35, 148, 33)
benign (20), (33, 72, 240, 141)
benign (190), (142, 129, 95, 205)
benign (78), (234, 80, 141, 131)
benign (404), (70, 76, 616, 205)
benign (237), (140, 42, 303, 170)
benign (199), (199, 68, 170, 56)
benign (89), (60, 64, 541, 129)
benign (112), (144, 93, 136, 89)
benign (243), (63, 298, 105, 38)
benign (26), (19, 66, 364, 199)
benign (151), (292, 117, 147, 73)
benign (40), (233, 152, 183, 88)
benign (219), (162, 134, 353, 103)
benign (241), (107, 16, 281, 322)
benign (36), (18, 165, 385, 201)
benign (139), (265, 44, 228, 135)
benign (355), (90, 67, 439, 104)
benign (338), (310, 44, 74, 24)
benign (281), (345, 28, 234, 113)
benign (250), (168, 189, 198, 184)
benign (101), (406, 129, 157, 132)
benign (22), (92, 116, 402, 209)
benign (360), (362, 50, 190, 97)
benign (221), (517, 163, 93, 71)
benign (6), (258, 76, 213, 127)
benign (302), (63, 277, 10, 16)
benign (163), (182, 127, 434, 126)
benign (153), (390, 91, 196, 90)
benign (84), (343, 191, 379, 191)
benign (368), (67, 84, 210, 114)
benign (382), (47, 94, 421, 94)
benign (164), (122, 40, 127, 65)
benign (380), (40, 143, 414, 134)
benign (402), (108, 75, 380, 245)
benign (3), (278, 107, 188, 142)
benign (174), (91, 80, 266, 154)
benign (197), (184, 64, 234, 121)
benign (427), (228, 73, 397, 144)
benign (30), (40, 31, 238, 135)
benign (74), (390, 104, 171, 108)
benign (320), (278, 108, 190, 128)
benign (104), (562, 55, 201, 90)
benign (242), (88, 245, 122, 44)
benign (413), (50, 79, 272, 63)
benign (395), (130, 42, 469, 292)
benign (124), (192, 122, 220, 149)
benign (222), (181, 114, 174, 108)
benign (125), (189, 138, 182, 131)
benign (220), (435, 103, 174, 135)
benign (333), (153, 32, 400, 218)
benign (405), (168, 64, 177, 189)
benign (418), (109, 110, 477, 120)
benign (430), (0, 46, 716, 157)
benign (310), (163, 13, 346, 71)
benign (63), (279, 239, 137, 116)
benign (52), (74, 31, 268, 93)
benign (166), (259, 99, 140, 158)
benign (253), (182, 55, 223, 109)
benign (358), (82, 70, 347, 132)
benign (56), (115, 93, 159, 188)
benign (210), (25, 215, 69, 32)
benign (8), (262, 168, 133, 117)
benign (329), (275, 162, 195, 99)
benign (45), (119, 80, 619, 223)
benign (133), (149, 84, 144, 72)
benign (280), (219, 128, 165, 181)
benign (2), (72, 197, 179, 123)
benign (347), (103, 99, 212, 103)
benign (416), (250, 80, 156, 51)
benign (293), (26, 169, 157, 188)
benign (251), (52, 44, 318, 148)
benign (372), (95, 69, 233, 162)
benign (10), (99, 41, 155, 362)
benign (276), (121, 26, 285, 265)
benign (169), (57, 142, 127, 143)
benign (100), (0, 75, 306, 140)
benign (82), (290, 164, 205, 140)
benign (11), (313, 126, 172, 71)
benign (259), (143, 108, 210, 153)
benign (170), (287, 111, 199, 156)
benign (371), (453, 120, 266, 95)
benign (34), (33, 64, 388, 256)
benign (202), (69, 72, 472, 161)
benign (176), (198, 105, 164, 72)
benign (352), (323, 45, 76, 89)
benign (182), (232, 58, 218, 91)
benign (50), (146, 113, 235, 161)
benign (181), (266, 111, 233, 113)
benign (398), (411, 69, 124, 44)
benign (409), (108, 50, 388, 375)
benign (339), (136, 91, 288, 115)
benign (274), (57, 38, 381, 304)
benign (137), (99, 175, 187, 125)
benign (284), (328, 46, 230, 126)
benign (359), (126, 99, 225, 203)
benign (32), (226, 116, 377, 131)
benign (296), (117, 19, 342, 112)
benign (304), (387, 198, 80, 32)
benign (232), (113, 25, 300, 282)
benign (307), (76, 72, 308, 116)
benign (15), (189, 114, 168, 95)
benign (146), (133, 116, 50, 34)
benign (23), (316, 229, 232, 173)
benign (189), (166, 75, 164, 83)
benign (88), (435, 116, 340, 96)
benign (61), (267, 438, 35, 16)
benign (292), (28, 169, 148, 188)
benign (47), (507, 117, 162, 61)
benign (110), (67, 39, 388, 155)
benign (86), (146, 139, 476, 112)
benign (249), (73, 16, 225, 263)
benign (167), (194, 121, 232, 88)
benign (157), (267, 42, 208, 125)
benign (102), (263, 58, 302, 247)
benign (364), (61, 46, 423, 203)
benign (412), (433, 66, 171, 233)
benign (298), (17, 138, 244, 168)
benign (322), (150, 169, 216, 104)
benign (73), (132, 42, 403, 278)
benign (206), (153, 43, 236, 126)
benign (257), (62, 51, 121, 323)
benign (248), (131, 41, 192, 69)
benign (429), (271, 16, 185, 67)
benign (286), (12, 34, 446, 130)
benign (392), (53, 139, 460, 98)
benign (135), (117, 45, 254, 124)
benign (421), (0, 48, 342, 99)
benign (165), (392, 125, 113, 48)
benign (201), (29, 310, 110, 42)
benign (193), (446, 193, 130, 103)
benign (266), (56, 12, 264, 265)
benign (97), (206, 187, 386, 180)
benign (119), (304, 191, 23, 8)
benign (425), (241, 95, 189, 92)
benign (258), (188, 41, 192, 86)
benign (318), (273, 123, 97, 57)
benign (291), (26, 87, 246, 81)
benign (434), (125, 93, 336, 124)
benign (294), (200, 302, 122, 39)
benign (261), (116, 31, 165, 242)
benign (195), (48, 216, 635, 391)
benign (175), (188, 135, 225, 168)
benign (171), (292, 100, 162, 70)
benign (396), (56, 81, 258, 63)
benign (143), (190, 103, 148, 76)
benign (1), (265, 124, 110, 60)
benign (260), (290, 24, 208, 107)
benign (383), (326, 224, 60, 37)
benign (91), (339, 129, 157, 73)
benign (363), (53, 157, 438, 147)
benign (244), (61, 54, 358, 177)
benign (128), (34, 33, 296, 135)
benign (240), (39, 47, 362, 131)
benign (357), (184, 119, 189, 135)
benign (414), (468, 122, 92, 97)
benign (388), (314, 245, 314, 73)
benign (28), (182, 306, 509, 157)
benign (366), (191, 60, 231, 138)
benign (361), (99, 133, 360, 143)
benign (353), (180, 119, 202, 64)
benign (420), (119, 96, 458, 78)
benign (134), (86, 40, 257, 83)
benign (246), (407, 113, 119, 75)
benign (269), (47, 36, 67, 48)
benign (35), (44, 40, 254, 125)
benign (233), (248, 148, 248, 130)
benign (196), (38, 37, 268, 316)
benign (393), (162, 40, 390, 398)
benign (48), (106, 125, 336, 220)
benign (211), (65, 91, 330, 166)
benign (213), (228, 67, 181, 125)
benign (85), (131, 39, 62, 64)
benign (95), (50, 91, 162, 112)
benign (60), (372, 61, 156, 79)
benign (344), (142, 71, 283, 88)
benign (105), (399, 148, 186, 106)
benign (354), (117, 126, 344, 95)
benign (94), (28, 105, 671, 366)
benign (315), (65, 29, 412, 113)
benign (148), (139, 54, 243, 150)
benign (136), (154, 120, 230, 157)
benign (389), (248, 125, 247, 273)
benign (156), (399, 146, 190, 106)
benign (386), (50, 110, 468, 123)
benign (203), (157, 55, 316, 121)
benign (397), (142, 68, 215, 368)
benign (215), (372, 23, 119, 85)
benign (265), (301, 28, 181, 93)
benign (187), (146, 130, 220, 77)
benign (140), (53, 85, 399, 140)
benign (107), (355, 203, 165, 152)
benign (184), (19, 85, 263, 95)
benign (381), (180, 89, 262, 104)
benign (238), (89, 77, 270, 180)
benign (79), (168, 26, 213, 151)
benign (297), (27, 34, 304, 213)
benign (433), (159, 48, 140, 120)
benign (373), (72, 103, 213, 248)
benign (188), (477, 469, 135, 71)
benign (264), (12, 35, 375, 168)
benign (154), (191, 99, 198, 83)
benign (207), (110, 409, 27, 18)
benign (204), (90, 18, 278, 307)
benign (217), (214, 32, 320, 79)
benign (29), (65, 125, 156, 64)
benign (121), (202, 50, 356, 118)
benign (262), (22, 222, 145, 69)
benign (234), (92, 33, 227, 246)
benign (387), (131, 68, 352, 174)
benign (155), (225, 151, 301, 215)
benign (331), (519, 129, 121, 86)
benign (342), (43, 60, 238, 89)
benign (399), (151, 101, 76, 60)
benign (323), (263, 60, 202, 150)
benign (33), (0, 52, 261, 141)
benign (301), (44, 53, 413, 141)
benign (227), (204, 227, 208, 220)
benign (351), (139, 187, 286, 125)
benign (390), (38, 146, 573, 134)
benign (422), (85, 37, 169, 49)
benign (99), (265, 47, 209, 124)
benign (321), (24, 99, 401, 95)
benign (401), (106, 38, 353, 398)
benign (16), (261, 111, 172, 73)
benign (394), (158, 46, 352, 271)
benign (435), (133, 44, 137, 101)
benign (172), (32, 67, 246, 156)
benign (289), (127, 48, 264, 77)
benign (337), (298, 50, 246, 87)
benign (426), (148, 97, 360, 185)
benign (87), (83, 47, 406, 198)
benign (38), (250, 65, 167, 137)
benign (343), (60, 138, 318, 105)
benign (122), (306, 182, 49, 18)
benign (41), (67, 84, 413, 290)
benign (432), (70, 58, 320, 213)
benign (229), (242, 125, 162, 188)
benign (93), (40, 36, 452, 181)
benign (178), (74, 176, 271, 209)
benign (319), (69, 214, 205, 113)
benign (423), (402, 11, 71, 56)
benign (268), (169, 19, 294, 74)
benign (141), (29, 37, 352, 326)
benign (336), (573, 132, 48, 43)
benign (142), (266, 103, 154, 110)
benign (326), (111, 60, 348, 258)
benign (295), (108, 131, 240, 195)
benign (350), (572, 165, 64, 110)
benign (132), (252, 57, 204, 149)
benign (391), (125, 133, 148, 63)
benign (68), (189, 53, 426, 273)
benign (384), (406, 89, 65, 33)
benign (71), (180, 59, 145, 111)
benign (108), (681, 307, 28, 18)
benign (55), (206, 246, 241, 116)
benign (225), (69, 224, 322, 206)
benign (379), (401, 53, 46, 10)
benign (306), (71, 45, 376, 225)
benign (43), (263, 62, 135, 86)
benign (290), (22, 23, 358, 271)
benign (230), (67, 35, 278, 311)
benign (144), (163, 84, 96, 65)
benign (356), (36, 23, 383, 91)
benign (194), (476, 68, 137, 120)
benign (64), (32, 35, 557, 332)
benign (328), (311, 120, 176, 70)
benign (235), (237, 364, 147, 44)
benign (311), (0, 77, 434, 97)
benign (228), (84, 60, 455, 265)
benign (252), (52, 24, 223, 259)
benign (131), (0, 56, 520, 192)
benign (106), (170, 136, 516, 173)
benign (362), (73, 144, 463, 301)
benign (4), (17, 97, 362, 103)
benign (76), (196, 134, 188, 184)
benign (5), (150, 178, 187, 91)
benign (255), (38, 38, 337, 195)
benign (272), (120, 113, 326, 93)
benign (256), (67, 340, 83, 18)
benign (21), (194, 103, 202, 81)
benign (410), (154, 58, 370, 367)
benign (424), (138, 53, 235, 159)
benign (123), (274, 92, 249, 147)
benign (42), (0, 57, 510, 194)
benign (72), (66, 51, 416, 183)
benign (370), (164, 56, 309, 118)
benign (254), (58, 75, 279, 136)
benign (287), (45, 19, 309, 181)
benign (77), (288, 89, 170, 129)
benign (177), (29, 39, 288, 125)
benign (303), (111, 33, 177, 99)
benign (158), (63, 17, 441, 176)
benign (138), (386, 72, 137, 85)
benign (279), (95, 15, 280, 316)
benign (162), (50, 154, 144, 45)
benign (282), (108, 18, 238, 303)
