file name: (x, y, w, h)
benign (111), (163, 131, 85, 65)
benign (126), (232, 133, 142, 118)
benign (341), (96, 41, 354, 217)
benign (271), (364, 93, 116, 107)
benign (186), (304, 158, 267, 223)
benign (129), (178, 138, 157, 103)
benign (313), (116, 22, 381, 57)
benign (59), (319, 44, 199, 132)
benign (378), (184, 30, 322, 125)
benign (278), (149, 186, 175, 96)
benign (345), (57, 33, 300, 255)
benign (403), (58, 79, 449, 198)
benign (275), (86, 47, 301, 231)
benign (340), (146, 72, 520, 203)
benign (316), (29, 34, 462, 251)
benign (114), (8, 0, 694, 476)
benign (406), (177, 71, 285, 189)
benign (183), (258, 196, 576, 102)
benign (83), (173, 65, 296, 60)
benign (130), (34, 50, 216, 126)
benign (161), (385, 64, 108, 87)
benign (375), (191, 119, 325, 160)
benign (20), (115, 72, 143, 96)
benign (26), (49, 74, 296, 186)
benign (40), (253, 132, 178, 112)
benign (139), (292, 42, 162, 122)
benign (355), (97, 53, 421, 132)
benign (281), (361, 32, 215, 105)
benign (101), (433, 159, 109, 83)
benign (163), (187, 129, 402, 111)
benign (153), (396, 90, 175, 96)
benign (382), (40, 62, 553, 408)
benign (380), (55, 133, 365, 154)
benign (402), (109, 61, 369, 265)
benign (174), (92, 82, 240, 153)
benign (124), (207, 116, 210, 164)
benign (222), (184, 111, 155, 110)
benign (430), (25, 46, 465, 146)
benign (52), (121, 45, 171, 43)
benign (358), (55, 41, 374, 151)
benign (2), (108, 205, 152, 110)
benign (416), (91, 33, 631, 300)
benign (293), (35, 160, 161, 202)
benign (276), (139, 28, 254, 177)
benign (34), (66, 71, 306, 87)
benign (409), (91, 42, 376, 393)
benign (284), (303, 50, 253, 127)
benign (232), (145, 30, 256, 178)
benign (23), (336, 225, 185, 170)
benign (88), (427, 76, 374, 299)
benign (61), (11, 0, 515, 486)
benign (292), (31, 164, 158, 199)
benign (110), (77, 29, 317, 143)
benign (86), (192, 129, 399, 110)
benign (249), (126, 36, 175, 92)
benign (157), (292, 40, 165, 125)
benign (73), (202, 44, 318, 259)
benign (206), (159, 40, 207, 128)
benign (257), (80, 56, 120, 319)
benign (286), (32, 43, 400, 133)
benign (392), (51, 128, 549, 342)
benign (97), (232, 181, 336, 204)
benign (119), (9, 0, 731, 287)
benign (291), (37, 81, 209, 92)
benign (195), (69, 221, 602, 382)
benign (244), (55, 60, 350, 183)
benign (366), (196, 71, 237, 128)
benign (134), (121, 46, 168, 44)
benign (196), (31, 34, 325, 337)
benign (393), (168, 36, 383, 400)
benign (95), (73, 87, 99, 101)
benign (94), (11, 0, 685, 496)
benign (315), (92, 34, 337, 93)
benign (148), (158, 55, 172, 132)
benign (203), (152, 39, 332, 139)
benign (397), (159, 64, 204, 382)
benign (107), (366, 219, 147, 138)
benign (79), (178, 30, 231, 149)
benign (297), (197, 45, 137, 68)
benign (217), (200, 28, 335, 83)
benign (387), (135, 52, 343, 121)
benign (33), (31, 52, 208, 127)
benign (390), (34, 139, 561, 157)
benign (321), (82, 109, 283, 55)
benign (172), (34, 88, 227, 122)
benign (426), (28, 34, 456, 250)
benign (87), (83, 52, 363, 198)
benign (229), (274, 140, 135, 175)
benign (93), (56, 55, 276, 146)
benign (319), (105, 211, 151, 110)
benign (141), (41, 44, 310, 320)
benign (336), (14, 0, 697, 383)
benign (326), (99, 68, 356, 271)
benign (68), (209, 53, 410, 284)
benign (108), (11, 0, 709, 495)
benign (55), (219, 241, 119, 131)
benign (379), (14, 0, 692, 349)
benign (64), (44, 42, 539, 321)
benign (131), (18, 58, 281, 157)
benign (362), (76, 153, 458, 286)
benign (256), (12, 7, 353, 364)
benign (410), (97, 57, 402, 374)
benign (424), (136, 55, 213, 149)
benign (123), (266, 78, 282, 178)
benign (370), (175, 46, 294, 108)
benign (77), (290, 99, 149, 115)
benign (303), (130, 34, 175, 102)
benign (158), (74, 31, 316, 147)
benign (282), (147, 29, 201, 125)
benign (13), (163, 93, 373, 220)
benign (173), (48, 51, 591, 182)
benign (27), (363, 76, 130, 129)
malignant (57), (484, 29, 177, 245)
malignant (76), (68, 37, 477, 109)
malignant (118), (212, 86, 243, 200)
malignant (163), (117, 45, 461, 428)
malignant (45), (83, 24, 546, 304)
malignant (186), (218, 24, 287, 107)
malignant (99), (113, 113, 384, 165)
malignant (197), (127, 139, 235, 147)
malignant (82), (158, 87, 307, 81)
malignant (131), (408, 142, 169, 162)
malignant (113), (59, 90, 127, 141)
malignant (161), (21, 11, 526, 241)
malignant (83), (227, 175, 250, 165)
malignant (126), (116, 88, 259, 147)
malignant (78), (77, 29, 527, 272)
malignant (192), (41, 126, 262, 119)
malignant (35), (28, 40, 211, 73)
malignant (210), (163, 227, 563, 182)
malignant (36), (33, 29, 387, 136)
malignant (31), (137, 44, 511, 207)
malignant (160), (206, 122, 302, 158)
malignant (33), (203, 77, 147, 95)
malignant (14), (98, 45, 147, 97)
malignant (16), (92, 28, 330, 237)
malignant (106), (92, 81, 329, 159)
malignant (162), (129, 34, 442, 117)
malignant (12), (167, 184, 134, 84)
malignant (177), (145, 85, 454, 90)
malignant (124), (131, 59, 324, 146)
malignant (80), (30, 7, 142, 225)
malignant (53), (159, 43, 372, 119)
malignant (158), (16, 26, 286, 116)
malignant (112), (230, 36, 291, 93)
malignant (3), (87, 151, 137, 88)
malignant (127), (249, 37, 210, 317)
malignant (123), (115, 52, 175, 123)
malignant (114), (126, 45, 175, 120)
malignant (139), (119, 32, 237, 349)
malignant (91), (76, 76, 318, 207)
malignant (41), (100, 80, 452, 89)
malignant (122), (98, 82, 359, 223)
malignant (54), (101, 70, 314, 175)
malignant (155), (181, 46, 251, 82)
malignant (103), (160, 41, 139, 175)
malignant (185), (151, 69, 331, 279)
malignant (167), (171, 151, 216, 214)
malignant (66), (165, 148, 359, 132)
malignant (98), (81, 56, 636, 226)
malignant (21), (26, 24, 527, 208)
malignant (24), (91, 86, 236, 133)
malignant (132), (40, 107, 389, 337)
malignant (94), (167, 81, 313, 183)
