file name: (x, y, w, h)
benign (150), (0, 36, 569, 375)
benign (278), (156, 245, 105, 218)
benign (403), (0, 63, 259, 146)
benign (340), (193, 59, 397, 215)
benign (316), (0, 0, 458, 302)
benign (406), (158, 111, 257, 112)
benign (218), (174, 52, 208, 83)
benign (83), (163, 68, 251, 81)
benign (239), (0, 68, 383, 152)
benign (404), (188, 99, 583, 310)
benign (237), (226, 74, 195, 105)
benign (199), (166, 80, 164, 82)
benign (243), (89, 259, 106, 213)
benign (219), (173, 188, 249, 92)
benign (36), (138, 180, 253, 151)
benign (355), (115, 100, 360, 100)
benign (302), (60, 245, 159, 144)
benign (382), (0, 71, 443, 149)
benign (164), (149, 65, 256, 119)
benign (174), (101, 116, 227, 117)
benign (52), (69, 42, 202, 239)
benign (10), (0, 160, 215, 124)
benign (32), (188, 116, 267, 175)
benign (296), (146, 44, 174, 63)
benign (88), (690, 170, 182, 162)
benign (102), (250, 92, 193, 107)
benign (73), (173, 138, 240, 145)
benign (97), (227, 233, 238, 115)
benign (366), (91, 74, 318, 139)
benign (134), (61, 0, 213, 254)
benign (233), (0, 0, 482, 277)
benign (48), (226, 158, 185, 197)
benign (85), (152, 0, 180, 197)
benign (60), (62, 85, 417, 512)
benign (354), (143, 133, 289, 144)
benign (140), (157, 162, 198, 188)
benign (188), (182, 167, 381, 310)
benign (155), (179, 172, 201, 246)
benign (399), (164, 138, 225, 88)
benign (301), (83, 59, 379, 116)
benign (99), (308, 81, 123, 91)
benign (394), (93, 76, 275, 197)
benign (426), (0, 0, 463, 160)
benign (229), (238, 137, 157, 145)
benign (295), (132, 155, 144, 67)
benign (391), (101, 69, 148, 187)
benign (68), (292, 235, 283, 118)
benign (230), (95, 52, 241, 168)
benign (356), (287, 0, 130, 119)
benign (235), (0, 315, 340, 102)
benign (252), (126, 57, 219, 131)
benign (131), (0, 71, 133, 74)
benign (272), (141, 160, 209, 75)
benign (303), (176, 50, 104, 91)
benign (158), (123, 139, 271, 130)
benign (138), (57, 88, 404, 511)
benign (282), (58, 65, 282, 293)
benign (13), (190, 162, 318, 120)
benign (173), (75, 91, 436, 97)
malignant (79), (88, 74, 179, 85)
malignant (71), (71, 0, 456, 222)
malignant (136), (79, 0, 52, 78)
malignant (147), (0, 0, 335, 226)
malignant (203), (155, 70, 205, 134)
malignant (20), (152, 144, 243, 132)
malignant (96), (196, 141, 216, 145)
malignant (169), (166, 121, 318, 104)
malignant (161), (272, 0, 213, 57)
malignant (170), (58, 68, 384, 152)
malignant (173), (0, 79, 195, 78)
malignant (148), (0, 126, 125, 223)
malignant (93), (165, 136, 244, 101)
malignant (210), (225, 222, 336, 194)
malignant (31), (0, 84, 164, 201)
malignant (77), (0, 0, 563, 229)
malignant (107), (0, 33, 408, 234)
malignant (100), (104, 83, 219, 71)
malignant (162), (173, 90, 373, 252)
malignant (120), (234, 131, 183, 154)
malignant (40), (0, 125, 394, 156)
malignant (144), (151, 118, 177, 164)
malignant (90), (223, 100, 246, 394)
malignant (199), (82, 130, 220, 144)
malignant (69), (0, 0, 404, 205)
malignant (44), (301, 83, 283, 141)
malignant (196), (157, 81, 173, 76)
malignant (127), (0, 0, 213, 166)
malignant (75), (117, 55, 195, 93)
malignant (123), (93, 74, 137, 92)
malignant (114), (98, 66, 154, 136)
malignant (139), (151, 71, 140, 330)
malignant (151), (316, 130, 196, 91)
malignant (122), (161, 175, 251, 99)
malignant (103), (238, 87, 84, 140)
malignant (97), (0, 0, 263, 253)
malignant (185), (168, 135, 314, 197)
malignant (58), (198, 160, 408, 93)
malignant (132), (0, 142, 396, 132)
malignant (153), (196, 110, 261, 103)
