file name: (x, y, w, h)
benign (270), (310, 30, 91, 59)
benign (111), (163, 131, 85, 65)
benign (118), (202, 75, 151, 108)
benign (126), (232, 133, 142, 118)
benign (341), (96, 41, 354, 217)
benign (271), (364, 93, 116, 107)
benign (12), (314, 158, 129, 99)
benign (186), (304, 158, 267, 223)
benign (417), (175, 97, 375, 101)
benign (129), (178, 138, 157, 103)
benign (334), (66, 114, 270, 190)
benign (313), (116, 22, 381, 57)
benign (59), (319, 44, 199, 132)
benign (378), (184, 30, 322, 125)
benign (150), (392, 180, 185, 240)
benign (277), (77, 57, 300, 100)
benign (278), (149, 186, 175, 96)
benign (345), (57, 33, 300, 255)
benign (51), (166, 91, 71, 50)
benign (120), (35, 124, 371, 135)
benign (400), (267, 71, 396, 247)
benign (376), (172, 70, 344, 204)
benign (403), (58, 79, 449, 198)
benign (275), (86, 47, 301, 231)
benign (180), (405, 157, 303, 161)
benign (340), (146, 72, 520, 203)
benign (69), (312, 179, 467, 231)
benign (316), (29, 34, 462, 251)
benign (115), (269, 158, 119, 74)
benign (114), (8, 0, 694, 476)
benign (406), (177, 71, 285, 189)
benign (332), (202, 107, 117, 107)
benign (327), (28, 41, 554, 338)
benign (407), (77, 62, 411, 387)
benign (7), (407, 87, 113, 100)
benign (209), (89, 50, 297, 232)
benign (183), (258, 196, 576, 102)
benign (377), (99, 35, 408, 162)
benign (218), (149, 37, 364, 121)
benign (185), (295, 150, 352, 170)
benign (263), (123, 162, 142, 77)
benign (247), (32, 23, 246, 269)
benign (83), (173, 65, 296, 60)
benign (66), (356, 111, 152, 117)
benign (90), (220, 130, 120, 114)
benign (130), (34, 50, 216, 126)
benign (239), (246, 51, 134, 90)
benign (58), (191, 43, 168, 128)
benign (161), (385, 64, 108, 87)
benign (149), (133, 112, 152, 114)
benign (375), (191, 119, 325, 160)
benign (349), (76, 12, 442, 242)
benign (20), (115, 72, 143, 96)
benign (190), (116, 131, 476, 332)
benign (78), (243, 74, 137, 127)
benign (404), (81, 85, 625, 364)
benign (237), (32, 45, 395, 200)
benign (199), (182, 68, 161, 65)
benign (89), (87, 62, 679, 132)
benign (112), (151, 82, 139, 105)
benign (243), (70, 271, 117, 70)
benign (26), (49, 74, 296, 186)
benign (151), (312, 113, 100, 81)
benign (40), (253, 132, 178, 112)
benign (219), (172, 144, 331, 93)
benign (241), (117, 34, 234, 296)
benign (36), (28, 169, 383, 186)
benign (139), (292, 42, 162, 122)
benign (355), (97, 53, 421, 132)
benign (338), (314, 31, 205, 246)
benign (281), (361, 32, 215, 105)
benign (250), (177, 188, 158, 182)
benign (101), (433, 159, 109, 83)
benign (22), (99, 117, 395, 205)
benign (360), (364, 45, 200, 98)
benign (221), (503, 141, 93, 84)
benign (6), (330, 75, 118, 98)
benign (302), (46, 193, 70, 130)
benign (163), (187, 129, 402, 111)
benign (153), (396, 90, 175, 96)
benign (84), (349, 111, 378, 272)
benign (368), (103, 93, 165, 100)
benign (382), (40, 62, 553, 408)
benign (164), (29, 31, 338, 145)
benign (380), (55, 133, 365, 154)
benign (402), (109, 61, 369, 265)
benign (3), (299, 127, 147, 111)
benign (174), (92, 82, 240, 153)
benign (197), (69, 89, 287, 89)
benign (427), (249, 85, 340, 131)
benign (30), (57, 34, 208, 109)
benign (74), (410, 110, 104, 83)
benign (320), (298, 127, 153, 110)
benign (104), (583, 48, 144, 101)
benign (242), (15, 12, 181, 305)
benign (413), (48, 51, 298, 100)
benign (395), (117, 38, 466, 285)
benign (124), (207, 116, 210, 164)
benign (222), (184, 111, 155, 110)
benign (125), (209, 139, 131, 122)
benign (220), (442, 109, 142, 130)
benign (333), (95, 30, 452, 278)
benign (405), (23, 14, 511, 250)
benign (418), (129, 112, 443, 114)
benign (430), (25, 46, 465, 146)
benign (310), (171, 15, 302, 82)
benign (63), (58, 166, 333, 169)
benign (52), (121, 45, 171, 43)
benign (166), (295, 86, 115, 169)
benign (253), (196, 61, 142, 86)
benign (358), (55, 41, 374, 151)
benign (56), (98, 99, 353, 192)
benign (210), (12, 9, 140, 369)
benign (8), (273, 167, 117, 93)
benign (329), (311, 158, 125, 101)
benign (45), (133, 67, 600, 244)
benign (133), (175, 90, 74, 51)
benign (280), (259, 135, 135, 174)
benign (2), (108, 205, 152, 110)
benign (347), (132, 95, 179, 116)
benign (416), (91, 33, 631, 300)
benign (293), (35, 160, 161, 202)
benign (251), (53, 52, 301, 149)
benign (372), (97, 64, 223, 145)
benign (10), (27, 45, 280, 339)
benign (276), (139, 28, 254, 177)
benign (169), (64, 141, 105, 135)
benign (100), (31, 90, 82, 73)
benign (82), (305, 159, 177, 146)
benign (11), (338, 104, 135, 96)
benign (259), (167, 118, 173, 136)
benign (170), (393, 128, 104, 127)
benign (371), (403, 112, 332, 113)
benign (34), (66, 71, 306, 87)
benign (202), (77, 61, 457, 180)
benign (176), (212, 94, 149, 87)
benign (352), (316, 41, 98, 74)
benign (182), (310, 55, 103, 81)
benign (50), (144, 116, 225, 172)
benign (181), (265, 103, 234, 146)
benign (398), (410, 64, 144, 193)
benign (409), (91, 42, 376, 393)
benign (339), (157, 99, 257, 89)
benign (274), (60, 46, 360, 299)
benign (137), (58, 170, 261, 118)
benign (284), (303, 50, 253, 127)
benign (359), (157, 96, 173, 196)
benign (32), (31, 94, 582, 214)
benign (296), (126, 34, 304, 98)
benign (304), (11, 65, 434, 254)
benign (232), (145, 30, 256, 178)
benign (307), (78, 73, 281, 116)
benign (15), (202, 105, 119, 105)
benign (146), (113, 91, 99, 81)
benign (23), (336, 225, 185, 170)
benign (189), (191, 75, 101, 82)
benign (88), (427, 76, 374, 299)
benign (61), (11, 0, 515, 486)
benign (292), (31, 164, 158, 199)
benign (47), (78, 89, 584, 202)
benign (110), (77, 29, 317, 143)
benign (86), (192, 129, 399, 110)
benign (249), (126, 36, 175, 92)
benign (167), (244, 119, 104, 87)
benign (157), (292, 40, 165, 125)
benign (102), (230, 48, 317, 251)
benign (364), (130, 82, 322, 172)
benign (412), (417, 67, 235, 248)
benign (298), (29, 143, 226, 177)
benign (322), (211, 172, 108, 90)
benign (73), (202, 44, 318, 259)
benign (206), (159, 40, 207, 128)
benign (257), (80, 56, 120, 319)
benign (248), (161, 53, 128, 54)
benign (429), (309, 24, 144, 262)
benign (286), (32, 43, 400, 133)
benign (392), (51, 128, 549, 342)
benign (135), (191, 44, 164, 131)
benign (421), (39, 70, 242, 55)
benign (165), (192, 106, 321, 78)
benign (201), (11, 8, 123, 372)
benign (193), (302, 174, 283, 115)
benign (266), (102, 36, 187, 244)
benign (97), (232, 181, 336, 204)
benign (119), (9, 0, 731, 287)
benign (425), (292, 89, 123, 73)
benign (258), (206, 43, 117, 62)
benign (318), (263, 108, 228, 185)
benign (291), (37, 81, 209, 92)
benign (434), (113, 91, 340, 240)
benign (294), (69, 134, 246, 207)
benign (261), (109, 35, 159, 224)
benign (195), (69, 221, 602, 382)
benign (175), (181, 137, 222, 178)
benign (171), (342, 94, 103, 137)
benign (396), (59, 51, 279, 103)
benign (143), (243, 104, 104, 75)
benign (1), (272, 106, 232, 188)
benign (260), (309, 34, 167, 75)
benign (383), (177, 216, 241, 79)
benign (91), (132, 108, 392, 144)
benign (363), (253, 155, 104, 78)
benign (244), (55, 60, 350, 183)
benign (128), (57, 36, 211, 107)
benign (240), (79, 57, 296, 97)
benign (357), (253, 110, 109, 110)
benign (414), (175, 129, 405, 294)
benign (388), (17, 12, 668, 307)
benign (28), (209, 152, 471, 317)
benign (366), (196, 71, 237, 128)
benign (361), (105, 139, 339, 125)
benign (353), (177, 31, 463, 156)
benign (420), (97, 63, 563, 159)
benign (134), (121, 46, 168, 44)
benign (246), (415, 116, 83, 68)
benign (269), (27, 27, 399, 225)
benign (35), (59, 46, 248, 102)
benign (233), (235, 143, 248, 139)
benign (196), (31, 34, 325, 337)
benign (393), (168, 36, 383, 400)
benign (48), (87, 123, 514, 240)
benign (211), (68, 86, 320, 172)
benign (213), (246, 70, 171, 118)
benign (85), (31, 31, 225, 145)
benign (95), (73, 87, 99, 101)
benign (60), (332, 51, 191, 121)
benign (344), (96, 68, 316, 80)
benign (105), (406, 143, 182, 120)
benign (354), (109, 110, 344, 103)
benign (94), (11, 0, 685, 496)
benign (315), (92, 34, 337, 93)
benign (148), (158, 55, 172, 132)
benign (136), (148, 120, 229, 172)
benign (389), (154, 47, 628, 372)
benign (156), (407, 137, 183, 120)
benign (386), (35, 75, 500, 282)
benign (203), (152, 39, 332, 139)
benign (397), (159, 64, 204, 382)
benign (215), (368, 30, 106, 80)
benign (265), (333, 37, 87, 74)
benign (187), (193, 113, 160, 96)
benign (140), (82, 80, 335, 138)
benign (107), (366, 219, 147, 138)
benign (184), (55, 76, 207, 70)
benign (381), (11, 10, 449, 265)
benign (238), (96, 79, 232, 171)
benign (79), (178, 30, 231, 149)
benign (297), (197, 45, 137, 68)
benign (433), (182, 56, 98, 84)
benign (373), (99, 108, 176, 135)
benign (188), (94, 39, 511, 509)
benign (264), (29, 44, 334, 159)
benign (154), (251, 93, 97, 80)
benign (207), (8, 0, 532, 453)
benign (204), (124, 30, 228, 295)
benign (217), (200, 28, 335, 83)
benign (29), (77, 110, 145, 234)
benign (121), (224, 45, 296, 114)
benign (262), (32, 227, 116, 66)
benign (234), (84, 26, 234, 285)
benign (387), (135, 52, 343, 121)
benign (155), (93, 165, 473, 276)
benign (331), (507, 112, 140, 111)
benign (342), (40, 73, 540, 299)
benign (399), (138, 90, 305, 154)
benign (323), (332, 80, 119, 99)
benign (33), (31, 52, 208, 127)
benign (301), (63, 50, 377, 152)
benign (227), (215, 226, 192, 219)
benign (351), (142, 201, 226, 95)
benign (390), (34, 139, 561, 157)
benign (422), (115, 30, 584, 265)
benign (99), (290, 44, 156, 123)
benign (321), (82, 109, 283, 55)
benign (401), (134, 39, 322, 404)
benign (16), (308, 105, 100, 79)
benign (394), (170, 53, 335, 260)
benign (435), (176, 50, 96, 86)
benign (172), (34, 88, 227, 122)
benign (289), (118, 44, 287, 188)
benign (337), (331, 51, 169, 87)
benign (426), (28, 34, 456, 250)
benign (87), (83, 52, 363, 198)
benign (38), (279, 46, 128, 149)
benign (343), (26, 131, 368, 199)
benign (122), (8, 0, 594, 279)
benign (41), (65, 90, 382, 277)
benign (432), (116, 65, 247, 198)
benign (229), (274, 140, 135, 175)
benign (93), (56, 55, 276, 146)
benign (178), (110, 147, 390, 257)
benign (319), (105, 211, 151, 110)
benign (423), (185, 16, 368, 81)
benign (268), (174, 24, 274, 64)
benign (141), (41, 44, 310, 320)
benign (336), (14, 0, 697, 383)
benign (142), (273, 100, 125, 111)
benign (326), (99, 68, 356, 271)
benign (295), (104, 143, 214, 69)
benign (350), (253, 148, 399, 208)
benign (132), (280, 52, 128, 141)
benign (391), (12, 0, 564, 430)
benign (68), (209, 53, 410, 284)
benign (384), (70, 71, 530, 353)
benign (71), (161, 73, 133, 95)
benign (108), (11, 0, 709, 495)
benign (55), (219, 241, 119, 131)
benign (225), (15, 15, 376, 421)
benign (379), (14, 0, 692, 349)
benign (306), (150, 49, 265, 213)
benign (43), (240, 57, 123, 127)
benign (290), (49, 47, 312, 127)
benign (230), (68, 46, 240, 295)
benign (144), (162, 76, 600, 141)
benign (356), (39, 28, 379, 68)
benign (194), (490, 76, 112, 114)
benign (64), (44, 42, 539, 321)
benign (328), (334, 97, 130, 96)
benign (235), (64, 56, 349, 353)
benign (311), (27, 78, 399, 90)
benign (228), (186, 59, 304, 265)
benign (252), (57, 40, 200, 67)
benign (131), (18, 58, 281, 157)
benign (106), (172, 127, 472, 176)
benign (362), (76, 153, 458, 286)
benign (4), (78, 107, 283, 57)
benign (76), (187, 139, 169, 166)
benign (5), (212, 174, 109, 88)
benign (255), (69, 52, 244, 74)
benign (272), (144, 129, 283, 71)
benign (256), (12, 7, 353, 364)
benign (21), (250, 97, 100, 81)
benign (410), (97, 57, 402, 374)
benign (424), (136, 55, 213, 149)
benign (123), (266, 78, 282, 178)
benign (42), (15, 63, 330, 157)
benign (72), (72, 76, 391, 166)
benign (370), (175, 46, 294, 108)
benign (254), (64, 73, 268, 142)
benign (287), (114, 29, 229, 130)
benign (77), (290, 99, 149, 115)
benign (177), (66, 46, 250, 104)
benign (303), (130, 34, 175, 102)
benign (158), (74, 31, 316, 147)
benign (138), (132, 56, 390, 224)
benign (279), (115, 34, 230, 297)
benign (162), (53, 126, 95, 85)
benign (282), (147, 29, 201, 125)
benign (411), (79, 41, 494, 293)
benign (159), (144, 83, 492, 150)
benign (13), (163, 93, 373, 220)
benign (173), (48, 51, 591, 182)
benign (27), (363, 76, 130, 129)
benign (236), (41, 23, 456, 298)
benign (223), (12, 9, 460, 442)
benign (46), (214, 101, 105, 83)
benign (19), (386, 183, 186, 238)
malignant (6), (144, 156, 100, 75)
malignant (89), (70, 73, 691, 130)
malignant (143), (67, 55, 458, 393)
malignant (70), (208, 83, 238, 136)
malignant (79), (39, 69, 427, 110)
malignant (25), (82, 76, 187, 141)
malignant (71), (71, 105, 243, 78)
malignant (57), (484, 29, 177, 245)
malignant (136), (83, 46, 47, 44)
malignant (149), (39, 194, 641, 111)
malignant (76), (68, 37, 477, 109)
malignant (207), (136, 30, 244, 349)
malignant (145), (182, 55, 98, 86)
malignant (118), (212, 86, 243, 200)
malignant (29), (88, 95, 207, 69)
malignant (163), (117, 45, 461, 428)
malignant (45), (83, 24, 546, 304)
malignant (186), (218, 24, 287, 107)
malignant (147), (317, 93, 170, 140)
malignant (99), (113, 113, 384, 165)
malignant (87), (343, 27, 203, 194)
malignant (203), (148, 39, 365, 181)
malignant (20), (69, 130, 335, 139)
malignant (209), (103, 89, 321, 86)
malignant (197), (127, 139, 235, 147)
malignant (175), (223, 36, 189, 85)
malignant (82), (158, 87, 307, 81)
malignant (131), (408, 142, 169, 162)
malignant (168), (217, 95, 175, 61)
malignant (96), (104, 73, 339, 269)
malignant (113), (59, 90, 127, 141)
malignant (193), (248, 80, 191, 110)
malignant (141), (213, 72, 171, 68)
malignant (169), (74, 68, 414, 167)
malignant (50), (216, 43, 202, 92)
malignant (161), (21, 11, 526, 241)
malignant (67), (329, 79, 466, 169)
malignant (83), (227, 175, 250, 165)
malignant (121), (326, 58, 131, 86)
malignant (126), (116, 88, 259, 147)
malignant (78), (77, 29, 527, 272)
malignant (170), (100, 66, 387, 121)
malignant (18), (37, 42, 503, 78)
malignant (56), (95, 43, 537, 95)
malignant (173), (26, 16, 417, 140)
malignant (137), (90, 34, 61, 40)
malignant (109), (52, 81, 163, 60)
malignant (201), (190, 122, 402, 159)
malignant (55), (18, 8, 231, 395)
malignant (85), (279, 112, 365, 113)
malignant (17), (231, 84, 290, 182)
malignant (192), (41, 126, 262, 119)
malignant (148), (42, 87, 88, 255)
malignant (181), (197, 86, 271, 83)
malignant (35), (28, 40, 211, 73)
malignant (93), (143, 90, 304, 153)
malignant (22), (154, 67, 240, 151)
malignant (13), (52, 71, 132, 49)
malignant (7), (108, 142, 287, 71)
malignant (105), (19, 11, 546, 202)
malignant (210), (163, 227, 563, 182)
malignant (101), (278, 80, 377, 231)
malignant (140), (237, 23, 205, 389)
malignant (117), (86, 58, 169, 112)
malignant (202), (134, 26, 146, 236)
malignant (36), (33, 29, 387, 136)
malignant (31), (137, 44, 511, 207)
malignant (160), (206, 122, 302, 158)
malignant (33), (203, 77, 147, 95)
malignant (102), (133, 109, 375, 158)
malignant (14), (98, 45, 147, 97)
malignant (125), (246, 82, 139, 154)
malignant (77), (111, 31, 462, 301)
malignant (16), (92, 28, 330, 237)
malignant (106), (92, 81, 329, 159)
malignant (107), (15, 13, 332, 227)
malignant (100), (178, 61, 148, 76)
malignant (200), (206, 142, 174, 97)
malignant (162), (129, 34, 442, 117)
malignant (2), (69, 32, 451, 365)
malignant (176), (41, 50, 486, 151)
malignant (120), (191, 89, 347, 76)
malignant (180), (87, 164, 305, 90)
malignant (178), (34, 45, 335, 162)
malignant (49), (215, 54, 168, 139)
malignant (12), (167, 184, 134, 84)
malignant (177), (145, 85, 454, 90)
malignant (152), (14, 0, 693, 339)
malignant (40), (92, 75, 290, 82)
malignant (124), (131, 59, 324, 146)
malignant (80), (30, 7, 142, 225)
malignant (4), (115, 155, 258, 70)
malignant (144), (170, 88, 177, 81)
malignant (38), (35, 0, 698, 414)
malignant (115), (50, 30, 381, 92)
malignant (116), (37, 41, 503, 79)
malignant (90), (181, 142, 314, 279)
malignant (9), (130, 144, 263, 76)
malignant (53), (159, 43, 372, 119)
malignant (199), (57, 80, 271, 103)
malignant (158), (16, 26, 286, 116)
malignant (157), (41, 88, 262, 67)
malignant (69), (275, 85, 256, 111)
malignant (44), (273, 55, 264, 166)
malignant (72), (182, 97, 193, 91)
malignant (43), (65, 55, 361, 200)
malignant (27), (377, 107, 121, 88)
malignant (112), (230, 36, 291, 93)
malignant (196), (139, 40, 216, 114)
malignant (3), (87, 151, 137, 88)
malignant (182), (19, 15, 573, 335)
malignant (127), (249, 37, 210, 317)
malignant (111), (99, 95, 234, 327)
malignant (92), (225, 132, 168, 97)
malignant (142), (170, 164, 152, 80)
malignant (1), (90, 138, 214, 95)
malignant (75), (76, 33, 315, 133)
malignant (128), (109, 35, 412, 329)
malignant (74), (11, 9, 397, 134)
malignant (123), (115, 52, 175, 123)
malignant (88), (232, 79, 291, 185)
malignant (5), (122, 155, 252, 72)
malignant (114), (126, 45, 175, 120)
malignant (129), (68, 34, 394, 315)
malignant (139), (119, 32, 237, 349)
malignant (189), (188, 12, 236, 102)
malignant (91), (76, 76, 318, 207)
malignant (174), (98, 49, 489, 115)
malignant (187), (145, 111, 218, 123)
malignant (41), (100, 80, 452, 89)
malignant (151), (230, 87, 162, 130)
malignant (122), (98, 82, 359, 223)
malignant (54), (101, 70, 314, 175)
malignant (183), (161, 58, 357, 151)
malignant (155), (181, 46, 251, 82)
malignant (103), (160, 41, 139, 175)
malignant (61), (38, 85, 257, 260)
malignant (63), (248, 124, 367, 179)
malignant (194), (13, 9, 768, 251)
malignant (84), (321, 174, 153, 125)
malignant (73), (51, 52, 192, 88)
malignant (59), (130, 55, 428, 236)
malignant (198), (151, 83, 244, 121)
malignant (97), (92, 75, 372, 307)
malignant (23), (48, 111, 422, 167)
malignant (185), (151, 69, 331, 279)
malignant (167), (171, 151, 216, 214)
malignant (58), (139, 53, 498, 264)
malignant (28), (384, 87, 132, 128)
malignant (66), (165, 148, 359, 132)
malignant (65), (82, 128, 771, 160)
malignant (98), (81, 56, 636, 226)
malignant (34), (221, 135, 166, 100)
malignant (21), (26, 24, 527, 208)
malignant (24), (91, 86, 236, 133)
malignant (132), (40, 107, 389, 337)
malignant (94), (167, 81, 313, 183)
malignant (206), (72, 104, 405, 142)
malignant (190), (169, 54, 169, 115)
malignant (110), (193, 217, 157, 106)
malignant (153), (259, 59, 264, 109)
